angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.79,"[248, 60, 123, 168]",0.11,0.02,0.0,0.02,0.06,0.0
0.75,"[248, 60, 123, 169]",0.18,0.02,0.0,0.0,0.04,0.0
0.56,"[247, 56, 121, 170]",0.37,0.01,0.0,0.02,0.04,0.0
0.72,"[248, 59, 123, 172]",0.18,0.02,0.0,0.01,0.07,0.0
0.73,"[248, 59, 123, 172]",0.16,0.02,0.0,0.01,0.07,0.0
0.81,"[250, 55, 119, 168]",0.05,0.03,0.0,0.01,0.1,0.0
0.91,"[250, 55, 119, 168]",0.02,0.02,0.0,0.0,0.04,0.0
0.93,"[246, 57, 123, 171]",0.02,0.01,0.0,0.0,0.03,0.0
0.82,"[245, 57, 123, 171]",0.14,0.01,0.0,0.01,0.02,0.01
0.84,"[245, 58, 123, 170]",0.11,0.01,0.0,0.01,0.03,0.01
0.82,"[245, 57, 122, 171]",0.14,0.01,0.0,0.01,0.02,0.01
0.69,"[244, 57, 123, 170]",0.24,0.01,0.0,0.02,0.04,0.0
0.64,"[243, 58, 123, 168]",0.25,0.01,0.0,0.03,0.06,0.0
0.61,"[243, 59, 124, 170]",0.22,0.03,0.0,0.05,0.07,0.0
0.53,"[243, 60, 124, 169]",0.2,0.04,0.0,0.12,0.1,0.01
0.79,"[241, 58, 126, 168]",0.14,0.02,0.0,0.02,0.03,0.0
0.44,"[240, 58, 124, 171]",0.54,0.0,0.0,0.0,0.01,0.0
0.51,"[242, 61, 123, 164]",0.11,0.2,0.01,0.05,0.09,0.02
0.13,"[239, 52, 123, 173]",0.02,0.09,0.25,0.36,0.11,0.04
0.13,"[239, 52, 123, 173]",0.02,0.09,0.25,0.36,0.11,0.04
0.51,"[177, 63, 240, 324]",0.0,0.16,0.01,0.09,0.22,0.02
0.47,"[179, 64, 238, 322]",0.0,0.18,0.01,0.09,0.24,0.01
0.41,"[181, 55, 220, 299]",0.01,0.3,0.01,0.07,0.21,0.0
0.52,"[178, 56, 215, 296]",0.03,0.17,0.07,0.1,0.1,0.01
0.5,"[179, 56, 214, 296]",0.02,0.18,0.08,0.1,0.11,0.01
0.46,"[189, 59, 217, 303]",0.0,0.09,0.05,0.22,0.16,0.01
0.39,"[190, 60, 220, 307]",0.0,0.06,0.05,0.29,0.2,0.01
0.46,"[191, 60, 219, 310]",0.0,0.04,0.07,0.24,0.18,0.01
0.6,"[186, 67, 219, 295]",0.0,0.04,0.06,0.17,0.1,0.02
0.67,"[189, 69, 216, 290]",0.0,0.03,0.02,0.16,0.1,0.01
0.68,"[188, 69, 219, 297]",0.0,0.02,0.08,0.08,0.13,0.0
0.99,"[175, 77, 229, 302]",0.0,0.0,0.0,0.0,0.01,0.0
0.95,"[181, 68, 221, 307]",0.0,0.0,0.0,0.0,0.04,0.0
0.95,"[183, 60, 217, 296]",0.02,0.01,0.0,0.01,0.01,0.0
0.95,"[182, 59, 218, 298]",0.03,0.01,0.0,0.01,0.01,0.0
0.95,"[188, 52, 221, 299]",0.01,0.01,0.0,0.01,0.03,0.0
0.93,"[189, 64, 218, 300]",0.01,0.02,0.0,0.01,0.03,0.0
0.68,"[192, 49, 217, 293]",0.16,0.02,0.0,0.08,0.06,0.0
0.81,"[198, 66, 218, 293]",0.01,0.04,0.0,0.07,0.06,0.0
0.84,"[196, 66, 219, 293]",0.01,0.03,0.0,0.06,0.05,0.0
0.89,"[196, 67, 221, 293]",0.01,0.04,0.0,0.02,0.04,0.01
0.9,"[192, 48, 220, 309]",0.0,0.02,0.0,0.04,0.04,0.0
0.91,"[193, 48, 219, 309]",0.0,0.02,0.0,0.03,0.04,0.0
0.92,"[194, 48, 218, 308]",0.02,0.01,0.0,0.02,0.02,0.0
0.92,"[194, 48, 218, 308]",0.02,0.01,0.0,0.03,0.02,0.0
0.91,"[195, 48, 219, 308]",0.02,0.02,0.0,0.02,0.02,0.01
0.91,"[194, 48, 221, 309]",0.03,0.02,0.0,0.01,0.02,0.01
0.9,"[197, 50, 219, 307]",0.03,0.03,0.0,0.02,0.03,0.0
0.85,"[195, 49, 222, 312]",0.01,0.02,0.0,0.04,0.07,0.0
0.83,"[194, 50, 221, 311]",0.02,0.02,0.0,0.04,0.09,0.0
0.79,"[195, 51, 221, 310]",0.02,0.02,0.01,0.1,0.05,0.01
0.81,"[200, 62, 220, 308]",0.02,0.03,0.01,0.04,0.06,0.02
0.63,"[197, 53, 223, 313]",0.02,0.02,0.05,0.15,0.12,0.02
0.27,"[200, 64, 221, 305]",0.0,0.02,0.24,0.37,0.09,0.01
0.21,"[200, 64, 221, 304]",0.0,0.04,0.24,0.39,0.1,0.02
0.49,"[195, 53, 220, 304]",0.01,0.01,0.15,0.28,0.04,0.0
0.47,"[200, 65, 220, 298]",0.0,0.05,0.02,0.34,0.11,0.0
0.44,"[199, 65, 220, 298]",0.01,0.04,0.02,0.31,0.18,0.0
0.73,"[198, 62, 219, 299]",0.01,0.04,0.0,0.07,0.16,0.0
0.71,"[198, 62, 219, 299]",0.01,0.04,0.0,0.07,0.16,0.0
0.49,"[198, 63, 218, 296]",0.0,0.02,0.01,0.21,0.27,0.0
0.61,"[198, 73, 215, 276]",0.01,0.05,0.0,0.2,0.13,0.0
0.77,"[199, 58, 219, 300]",0.02,0.04,0.0,0.05,0.12,0.0
0.48,"[195, 46, 219, 306]",0.02,0.02,0.03,0.37,0.08,0.01
0.53,"[196, 47, 217, 304]",0.03,0.02,0.03,0.31,0.07,0.01
0.73,"[197, 47, 217, 303]",0.09,0.01,0.01,0.09,0.04,0.02
0.72,"[199, 46, 218, 305]",0.02,0.02,0.0,0.17,0.06,0.01
0.7,"[205, 55, 209, 286]",0.2,0.03,0.0,0.02,0.03,0.01
0.69,"[205, 55, 207, 284]",0.18,0.04,0.0,0.04,0.04,0.01
0.7,"[204, 54, 208, 285]",0.17,0.03,0.0,0.05,0.03,0.01
0.71,"[203, 54, 207, 284]",0.14,0.03,0.0,0.07,0.04,0.01
0.62,"[201, 54, 208, 284]",0.24,0.03,0.0,0.06,0.05,0.01
0.75,"[203, 61, 215, 297]",0.01,0.15,0.0,0.01,0.07,0.0
0.77,"[200, 53, 207, 285]",0.13,0.02,0.0,0.03,0.04,0.0
0.72,"[199, 53, 208, 286]",0.2,0.02,0.0,0.03,0.04,0.0
0.9,"[198, 51, 210, 289]",0.05,0.01,0.0,0.01,0.02,0.0
0.93,"[198, 51, 209, 290]",0.03,0.01,0.0,0.01,0.02,0.0
0.91,"[198, 53, 209, 288]",0.05,0.01,0.0,0.0,0.02,0.0
0.84,"[197, 52, 209, 290]",0.13,0.01,0.0,0.0,0.02,0.0
0.9,"[197, 52, 209, 289]",0.07,0.01,0.0,0.0,0.01,0.0
0.79,"[196, 51, 210, 294]",0.18,0.01,0.0,0.0,0.02,0.0
0.95,"[195, 49, 212, 298]",0.01,0.02,0.0,0.0,0.02,0.0
0.93,"[190, 42, 218, 313]",0.0,0.03,0.0,0.0,0.03,0.0
0.88,"[194, 50, 214, 305]",0.02,0.03,0.0,0.0,0.06,0.0
0.88,"[195, 52, 213, 303]",0.02,0.03,0.0,0.0,0.07,0.0
0.31,"[193, 49, 215, 303]",0.14,0.04,0.06,0.27,0.16,0.02
0.21,"[192, 48, 213, 297]",0.03,0.01,0.08,0.58,0.07,0.0
0.31,"[189, 50, 220, 305]",0.02,0.06,0.08,0.43,0.08,0.01
0.62,"[188, 48, 223, 308]",0.03,0.07,0.01,0.19,0.06,0.02
0.62,"[188, 48, 223, 308]",0.03,0.07,0.01,0.18,0.06,0.02
0.88,"[195, 48, 218, 303]",0.03,0.06,0.0,0.01,0.02,0.0
0.93,"[196, 47, 219, 307]",0.01,0.04,0.0,0.0,0.01,0.01
0.95,"[195, 46, 220, 311]",0.01,0.02,0.0,0.0,0.01,0.01
0.93,"[196, 46, 219, 312]",0.01,0.03,0.0,0.0,0.0,0.02
0.94,"[195, 45, 220, 313]",0.0,0.03,0.0,0.0,0.0,0.02
0.94,"[195, 47, 221, 312]",0.0,0.04,0.0,0.0,0.0,0.01
0.95,"[195, 47, 221, 312]",0.01,0.03,0.0,0.0,0.0,0.01
0.92,"[195, 46, 220, 314]",0.01,0.04,0.0,0.01,0.01,0.01
0.86,"[195, 44, 221, 314]",0.06,0.05,0.0,0.01,0.01,0.01
0.86,"[195, 44, 221, 314]",0.06,0.05,0.0,0.01,0.01,0.01
0.62,"[194, 43, 224, 316]",0.19,0.11,0.0,0.02,0.04,0.03
0.51,"[194, 44, 224, 315]",0.09,0.22,0.0,0.03,0.13,0.03
0.63,"[191, 46, 225, 316]",0.07,0.17,0.0,0.02,0.11,0.01
0.67,"[189, 46, 227, 318]",0.03,0.16,0.0,0.02,0.11,0.02
0.66,"[189, 46, 227, 318]",0.04,0.16,0.0,0.02,0.11,0.02
